Date,Open,High,Low,Close,Adj Close,Volume
2019-04-29,10625.000000,11000.000000,10625.000000,10800.000000,10800.000000,1105700
2019-04-30,10800.000000,11000.000000,10800.000000,10875.000000,10875.000000,1824900
2019-05-01,10875.000000,10875.000000,10875.000000,10875.000000,10875.000000,0
2019-05-02,10900.000000,10900.000000,10725.000000,10725.000000,10725.000000,314100
2019-05-03,10650.000000,11000.000000,10625.000000,10900.000000,10900.000000,535800
2019-05-06,10900.000000,10900.000000,10700.000000,10900.000000,10900.000000,396200
2019-05-07,10900.000000,10900.000000,10625.000000,10750.000000,10750.000000,729100
2019-05-08,10800.000000,10825.000000,10675.000000,10750.000000,10750.000000,793100
2019-05-09,10900.000000,10900.000000,10475.000000,10525.000000,10525.000000,635500
2019-05-10,10575.000000,10625.000000,10400.000000,10500.000000,10500.000000,862900
2019-05-13,10500.000000,10725.000000,10225.000000,10300.000000,10300.000000,474200
2019-05-14,10000.000000,10225.000000,10000.000000,10100.000000,10100.000000,1503100
2019-05-15,10100.000000,10300.000000,10050.000000,10175.000000,10175.000000,724400
2019-05-16,10200.000000,10300.000000,10075.000000,10100.000000,10100.000000,1215800
2019-05-17,10250.000000,10525.000000,10250.000000,10350.000000,10350.000000,843900
2019-05-20,10350.000000,10475.000000,10150.000000,10250.000000,10250.000000,433400
2019-05-21,10300.000000,10400.000000,10250.000000,10300.000000,10300.000000,577300
2019-05-22,10325.000000,10425.000000,10250.000000,10400.000000,10400.000000,182800
2019-05-23,10500.000000,10500.000000,10375.000000,10425.000000,10425.000000,348400
2019-05-24,10500.000000,10500.000000,10200.000000,10450.000000,10450.000000,631700
2019-05-27,10500.000000,10500.000000,10300.000000,10425.000000,10425.000000,483700
2019-05-28,10450.000000,10475.000000,10375.000000,10400.000000,10400.000000,135000
2019-05-29,10400.000000,10550.000000,10375.000000,10500.000000,10500.000000,276800
2019-05-30,10500.000000,10500.000000,10500.000000,10500.000000,10500.000000,0
2019-05-31,10550.000000,10575.000000,10375.000000,10550.000000,10550.000000,554100
2019-06-03,10550.000000,10550.000000,10550.000000,10550.000000,10550.000000,0
2019-06-04,10550.000000,10550.000000,10550.000000,10550.000000,10550.000000,0
2019-06-05,10550.000000,10550.000000,10550.000000,10550.000000,10550.000000,0
2019-06-06,10550.000000,10550.000000,10550.000000,10550.000000,10550.000000,0
2019-06-07,10550.000000,10550.000000,10550.000000,10550.000000,10550.000000,0
2019-06-10,10550.000000,10650.000000,10400.000000,10450.000000,10450.000000,402900
2019-06-11,10475.000000,10475.000000,10375.000000,10375.000000,10375.000000,137100
2019-06-12,10450.000000,10500.000000,10275.000000,10325.000000,10325.000000,338100
2019-06-13,10325.000000,10325.000000,10150.000000,10150.000000,10150.000000,683800
2019-06-14,10175.000000,10325.000000,10175.000000,10275.000000,10275.000000,507700
2019-06-17,10275.000000,10475.000000,10225.000000,10225.000000,10225.000000,1004100
2019-06-18,10225.000000,10400.000000,10200.000000,10200.000000,10200.000000,469000
2019-06-19,10225.000000,10300.000000,10225.000000,10250.000000,10250.000000,518600
2019-06-20,10300.000000,10500.000000,10250.000000,10450.000000,10450.000000,622000
2019-06-21,10450.000000,10575.000000,10350.000000,10350.000000,10350.000000,615700
2019-06-24,10350.000000,10400.000000,10250.000000,10275.000000,10275.000000,277500
2019-06-25,10275.000000,10350.000000,10250.000000,10275.000000,10275.000000,779800
2019-06-26,10350.000000,10500.000000,10275.000000,10400.000000,10400.000000,1583100
2019-06-27,10400.000000,10500.000000,10350.000000,10400.000000,10400.000000,309400
2019-06-28,10500.000000,10500.000000,10375.000000,10400.000000,10400.000000,345100
2019-07-01,10500.000000,10850.000000,10450.000000,10825.000000,10825.000000,2467900
2019-07-02,10875.000000,10975.000000,10625.000000,10750.000000,10750.000000,1157300
2019-07-03,10725.000000,10800.000000,10425.000000,10450.000000,10450.000000,1110000
2019-07-04,10450.000000,10575.000000,10450.000000,10475.000000,10475.000000,504700
2019-07-05,10475.000000,10475.000000,10350.000000,10375.000000,10375.000000,497500
2019-07-08,10375.000000,10600.000000,10375.000000,10475.000000,10475.000000,702700
2019-07-09,10475.000000,10750.000000,10425.000000,10700.000000,10700.000000,1073700
2019-07-10,10700.000000,10725.000000,10500.000000,10500.000000,10500.000000,321800
2019-07-11,10500.000000,10600.000000,10325.000000,10400.000000,10400.000000,1347800
2019-07-12,10400.000000,10450.000000,10100.000000,10150.000000,10150.000000,1069000
2019-07-15,10150.000000,10275.000000,10150.000000,10175.000000,10175.000000,694800
2019-07-16,10200.000000,10250.000000,10175.000000,10225.000000,10225.000000,333300
2019-07-17,10225.000000,10250.000000,10125.000000,10175.000000,10175.000000,499600
2019-07-18,10175.000000,10300.000000,10150.000000,10225.000000,10225.000000,446500
2019-07-19,10225.000000,10275.000000,10125.000000,10125.000000,10125.000000,467000
2019-07-22,10150.000000,10150.000000,10025.000000,10050.000000,10050.000000,968200
2019-07-23,10075.000000,10150.000000,10025.000000,10050.000000,10050.000000,784100
2019-07-24,10100.000000,10275.000000,10075.000000,10150.000000,10150.000000,348300
2019-07-25,10250.000000,10250.000000,10150.000000,10150.000000,10150.000000,341400
2019-07-26,10150.000000,10200.000000,10025.000000,10075.000000,10075.000000,373400
2019-07-29,10075.000000,10100.000000,10000.000000,10100.000000,10100.000000,349500
2019-07-30,10000.000000,10100.000000,10000.000000,10025.000000,10025.000000,370400
2019-07-31,10000.000000,10025.000000,9750.000000,9975.000000,9975.000000,2524500
2019-08-01,9975.000000,10075.000000,9900.000000,9975.000000,9975.000000,542700
2019-08-02,9900.000000,9975.000000,9800.000000,9800.000000,9800.000000,293800
2019-08-05,9800.000000,9850.000000,9700.000000,9800.000000,9800.000000,543600
2019-08-06,9750.000000,9800.000000,9500.000000,9750.000000,9750.000000,311700
2019-08-07,9750.000000,9850.000000,9750.000000,9800.000000,9800.000000,164700
2019-08-08,10000.000000,10250.000000,9800.000000,10250.000000,10250.000000,2413500
2019-08-09,10375.000000,10650.000000,10250.000000,10550.000000,10550.000000,4684200
2019-08-12,10550.000000,10725.000000,10450.000000,10625.000000,10625.000000,1685100
